Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
0,139.45584516377357,51.44979389239052,5.186893186536519,-0.3009867380742545,0.12019999999999997,0.12019999999999997,0.1202,2000,0.0005151301523656502,0.0005151301523656502,0.0005151301523656502,0_26:0.018516202922309183,0_26:660
1,22.673887093278562,46.661155449129275,5.395569708928627,-0.29909682615100486,0.022699999999999942,0.0098,0.035599999999999965,2000,0.0006870483799493313,0.0006870483799493313,0.0006870483799493313,1_2:0.016801933088057497; 1_0:0.017164860767902218,1_2:660; 1_0:660
2,160.9402467844789,67.51525172340806,5.215363450425933,-0.2999679131670795,0.02410000000000001,0.020199999999999996,0.028,2000,0.0003414215107225069,0.0003414215107225069,0.0003414215107225069,2_3:0.01085649859838575,2_3:660
3,270.4280727192699,90.39668450880713,5.116566213232445,-0.302296455534244,0.2562,0.36519999999999997,0.1472,2000,0.00024176765969280832,0.00024176765969280832,0.00024176765969280832,undefined,undefined
4,11.243412253729103,56.60687665411535,5.493198039355151,-0.29687545072041377,0.02059999999999995,0.010399999999999965,0.0308,2000,0.0006652357522411653,0.0006652357522411653,0.0006652357522411653,4_27:0.017003601366088195; 4_5:0.013337758402982264; 4_3:0.015029902569447362,4_27:660; 4_5:660; 4_3:660
5,122.10174931309898,80.42314659673733,5.3071399343549865,-0.3004658791080434,0.011700000000000044,0.011,0.012399999999999967,2000,0.0009103532213650376,0.0009103532213650376,0.0009103532213650376,5_6:0.009969658188238528,5_6:660
6,128.04684562016072,97.41190411988352,5.137428060769519,-0.3026925282785081,0.016699999999999937,0.02059999999999995,0.0128,2000,0.0003973657839327873,0.0003973657839327873,0.0003973657839327873,6_7:0.02072984984722434,6_7:660
7,65.98020266214212,24.906661627671756,5.289997991413918,-0.2996834954243215,0.028200000000000003,0.025399999999999978,0.031,2000,0.0007645259264559967,0.0007645259264559967,0.0007645259264559967,undefined,undefined
8,51.62420388051395,54.18667712459035,5.2205873778651855,-0.29950846111991153,0.1291,0.152,0.10619999999999996,2000,0.0004990111423041905,0.0004990111423041905,0.0004990111423041905,8_28:0.01647290447743896; 8_9:0.016478087573757655; 8_7:0.02201148890300683,8_28:660; 8_9:660; 8_7:660
9,56.80374680238628,48.44669738946379,5.060930433470495,-0.3021698527968699,0.24629999999999996,0.2592,0.23340000000000005,2000,0.00035061669395036716,0.00035061669395036716,0.00035061669395036716,9_10:0.014376096902114527,9_10:660
