Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
0,126.24380444287914,46.52508204315693,5.18689603183244,-0.3009867380742545,0.13650000000000007,0.12980000000000003,0.1432,2000,0.00044731696596553516,0.00044731696596553516,0.00044731696596553516,0_26:0.015022699994485827,0_26:660
1,98.47861673859995,66.79873477585656,5.39555961932959,-0.29909682615100486,0.02510000000000001,0.0138,0.03639999999999999,2000,0.00045996586840281277,0.00045996586840281277,0.00045996586840281277,1_2:0.013242697195139708; 1_0:0.012634866863704797,1_2:660; 1_0:660
2,136.67714161835397,61.37316077120932,5.21536590468494,-0.2999679131670795,0.023900000000000032,0.021599999999999953,0.0262,2000,0.00033753527103299225,0.00033753527103299225,0.00033753527103299225,2_3:0.014079543591258098,2_3:660
3,82.93714690989307,52.27269063962523,5.11656479416164,-0.302296455534244,0.2832,0.39059999999999995,0.1758,2000,0.0002449089764039457,0.0002449089764039457,0.0002449089764039457,undefined,undefined
4,44.49507949974133,26.88281868993171,5.493185909077239,-0.29687545072041377,0.021199999999999997,0.010199999999999987,0.0322,2000,0.000684889907639781,0.000684889907639781,0.000684889907639781,4_27:0.02344096272902771; 4_5:0.014695396088936136; 4_3:0.02152952166329722,4_27:660; 4_5:660; 4_3:660
5,67.79094709807323,58.95377779793054,5.3071327990247275,-0.3004658791080434,0.008099999999999996,0.0104,0.005800000000000027,2000,0.0005434745126156826,0.0005434745126156826,0.0005434745126156826,5_6:0.009305014471431061,5_6:660
6,122.56229421528455,88.49888278952879,5.137420341026257,-0.3026925282785081,0.01100000000000001,0.014000000000000012,0.008,2000,0.00024321623833699433,0.00024321623833699433,0.00024321623833699433,6_7:0.01774520237014246,6_7:660
7,65.8416339557175,24.917904511125702,5.28999235292939,-0.2996834954243215,0.03970000000000007,0.028800000000000048,0.0506,2000,0.0009653658515718882,0.0009653658515718882,0.0009653658515718882,undefined,undefined
8,77.57480187089216,57.180708317895935,5.220642975046312,-0.29950846111991153,0.13270000000000004,0.1448,0.12060000000000004,2000,0.0004508974802753577,0.0004508974802753577,0.0004508974802753577,8_28:0.016062677554386257; 8_9:0.014016735015102616; 8_7:0.02212403726098977,8_28:660; 8_9:660; 8_7:660
9,103.0229405962989,56.10237343921597,5.060933988343009,-0.3021698527968699,0.23409999999999997,0.248,0.22019999999999995,2000,0.00044967876774324974,0.00044967876774324974,0.00044967876774324974,9_10:0.011910719513429174,9_10:660
10,166.3003141431777,129.35745942550386,5.0954188812371335,-0.30292150745250856,0.03259999999999996,0.03600000000000003,0.0292,2000,0.000373746703218781,0.000373746703218781,0.000373746703218781,10_11:0.010279255256543246,10_11:660
11,165.41327610923915,63.98719264312471,5.032376297140109,-0.3032520331770865,0.03810000000000002,0.04379999999999995,0.0324,2000,0.0003362219446380484,0.0003362219446380484,0.0003362219446380484,undefined,undefined
12,63.39757772894811,58.45927888224669,5.2050496094946785,-0.3022065120658514,0.01419999999999999,0.01319999999999999,0.0152,2000,0.0012866133440367705,0.0012866133440367705,0.0012866133440367705,12_29:0.07291550208350453; 12_11:0.019809538788378767,12_29:356; 12_11:660
13,18.219882570190585,71.98637965405764,5.298591672074785,-0.2998120841448697,0.014799999999999924,0.0156,0.014000000000000012,2000,0.0006265884846715118,0.0006265884846715118,0.0006265884846715118,13_14:0.015711516719238983; 13_12:0.01673017562802448,13_14:660; 13_12:660
