Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
0,92.33897426112661,34.924919797733494,5.186905473973753,-0.3009867380742545,0.11299999999999999,0.11099999999999999,0.115,2000,0.0003487826451721883,0.0003487826451721883,0.0003487826451721883,0_26:0.014435731016779058,0_26:660
1,89.69187799759514,68.90988969069967,5.39557334941769,-0.29909682615100486,0.029299999999999993,0.0182,0.04039999999999999,2000,0.0005827912351583548,0.0005827912351583548,0.0005827912351583548,1_2:0.013368988070512039; 1_0:0.011570466954278213,1_2:660; 1_0:660
2,127.89228660469207,66.60011257062449,5.215365055148112,-0.2999679131670795,0.02410000000000001,0.021599999999999953,0.0266,2000,0.00034423915656055487,0.00034423915656055487,0.00034423915656055487,2_3:0.010141421685832042,2_3:660
3,238.5543405224585,42.09900193693286,5.116561510192529,-0.302296455534244,0.2562,0.36040000000000005,0.152,2000,0.0004745161477625903,0.0004745161477625903,0.0004745161477625903,undefined,undefined
4,83.91706431677034,76.16558304846414,5.493195937406921,-0.29687545072041377,0.017099999999999893,0.015599999999999947,0.0186,2000,0.000609932700113652,0.000609932700113652,0.000609932700113652,4_27:0.01288925859903381; 4_5:0.015244029258165648; 4_3:0.01379107430603424,4_27:660; 4_5:660; 4_3:660
5,99.56032757298021,89.1272472935245,5.307124711630711,-0.3004658791080434,0.009200000000000097,0.0106,0.007800000000000029,2000,0.0007997193149360837,0.0007997193149360837,0.0007997193149360837,5_6:0.03137681413187279,5_6:660
6,82.25114611520205,40.11759429020686,5.137431715735616,-0.3026925282785081,0.014599999999999946,0.01539999999999997,0.0138,2000,0.0008403165900889471,0.0008403165900889471,0.0008403165900889471,6_7:0.021847856845628233,6_7:660
7,85.66203112756604,34.23683980046917,5.289992102964418,-0.2996834954243215,0.0373,0.03380000000000005,0.0408,2000,0.000878171801923111,0.000878171801923111,0.000878171801923111,undefined,undefined
8,93.32685023259107,53.58168436876415,5.220681603703378,-0.29950846111991153,0.13039999999999996,0.1344,0.12639999999999996,2000,0.0005571888959701215,0.0005571888959701215,0.0005571888959701215,8_28:0.017948342014677765; 8_9:0.012203791158770044; 8_7:0.025922529448015263,8_28:660; 8_9:660; 8_7:660
9,94.49762310096938,39.88947281851053,5.0609243503805255,-0.3021698527968699,0.24580000000000002,0.245,0.24660000000000004,2000,0.00043894216848744296,0.00043894216848744296,0.00043894216848744296,9_10:0.015869745235270627,9_10:660
10,113.63886235524257,115.10734848631655,5.09542946984051,-0.30292150745250856,0.0695,0.07640000000000002,0.0626,2000,0.000609807847209892,0.000609807847209892,0.000609807847209892,10_11:0.014330256773391198,10_11:660
11,144.46452424164005,58.585655735888004,5.032346446269348,-0.3032520331770865,0.024699999999999944,0.025599999999999956,0.0238,2000,0.0003210640922921794,0.0003210640922921794,0.0003210640922921794,undefined,undefined
12,124.66420955769921,60.51225559973008,5.205055385470463,-0.3022065120658514,0.014100000000000001,0.012599999999999945,0.0156,2000,0.00046858673252988224,0.00046858673252988224,0.00046858673252988224,12_29:0.04423584322346491; 12_11:0.016017515190064002,12_29:356; 12_11:660
13,22.53939298037598,48.54333705397443,5.29858592757039,-0.2998120841448697,0.013000000000000012,0.0158,0.010199999999999987,2000,0.0008140624277865184,0.0008140624277865184,0.0008140624277865184,13_14:0.017723280742033137; 13_12:0.018890281398195458,13_14:660; 13_12:660
14,69.07381369478487,34.89377578591114,5.461168580306322,-0.29641322017408017,0.08666666666666667,0.08666666666666667,0.08666666666666667,2000,0.00046996774848236003,0.00046996774848236003,0.00046996774848236003,14_15:0.04870736488984703,14_15:660
15,87.20092228964172,27.25812002353877,5.221230171809826,0,0.30666666666666664,0.2566666666666667,0.3566666666666667,2000,0.033192259162275015,0.033192259162275015,0.033192259162275015,undefined,undefined
16,58.26941784551649,33.63821707060251,5.3077257519751395,-0.3000535997999543,0.024899999999999922,0.0142,0.035599999999999965,2000,0.0006700100882374016,0.0006700100882374016,0.0006700100882374016,16_17:0.053461972461512935; 16_15:0.0167944526079212,16_17:660; 16_15:660
17,60.16594654134027,6.250832178724415,5.418767518784104,-0.2965878498802911,0.06666666666666665,0.08333333333333337,0.05,2000,0.001345096093360589,0.001345096093360589,0.001345096093360589,17_18:0.07556698694146216,17_18:660
18,101.5562735151661,6.065920613027075,5.2679026967606815,-0.29934580134385674,0.20999999999999996,0.2366666666666667,0.18333333333333332,2000,0.0016012396578118937,0.0016012396578118937,0.0016012396578118937,18_19:0.038608943035286225,18_19:660
19,88.67231666364378,25.699771095847304,5.230791147827586,-0.29897347969110183,0.03159999999999996,0.02959999999999996,0.0336,2000,0.0008362438215494211,0.0008362438215494211,0.0008362438215494211,undefined,undefined
20,62.289780008609966,28.54392390609065,5.134898605161627,-0.30281757839212553,0.1283333333333333,0.09999999999999998,0.15666666666666668,2000,0.0004947217435849894,0.0004947217435849894,0.0004947217435849894,20_19:0.04387183991043944; 20_31:0.23468209181788857,20_19:660; 20_31:660
21,85.3241563286558,31.06461270327573,5.2318655460629016,-0.30037141194249195,0.021600000000000064,0.011800000000000033,0.0314,2000,0.0008558960480875772,0.0008558960480875772,0.0008558960480875772,21_20:0.01818800714493979; 21_22:0.027107843580845614,21_20:660; 21_22:660
22,37.94226955521671,30.80243088115407,5.047626285240694,-0.30150004861559054,0.07380000000000009,0.09360000000000002,0.054,2000,0.001050626316807225,0.001050626316807225,0.001050626316807225,22_23:0.021534109135683516,22_23:660
23,77.40775258013286,12.728059372150915,5.140526603626991,-0.30245688407234067,0.03749999999999998,0.028200000000000003,0.0468,2000,0.0008777505711182698,0.0008777505711182698,0.0008777505711182698,undefined,undefined
24,49.12079361007603,16.1811178209934,5.393777998950855,-0.29867142151749587,0.1233333333333333,0.1233333333333333,0.12333333333333334,2000,0.002479203662854183,0.002479203662854183,0.002479203662854183,24_23:0.09875600472797297; 24_32:1,24_23:660; 24_32:660
25,46.15885640091736,7.083239926379464,5.357101043341031,-0.2955292668068824,0.06909999999999994,0.0558,0.08240000000000003,2000,0.0015838749486582402,0.0015838749486582402,0.0015838749486582402,25_24:0.0323506175910763,25_24:660
