Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,vx (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
79,139.5864959,112.6784032,4.961277537,-0.303770113,0.0146,0.022,0.0072,2000,0.004907439,0.004907439,0.004907439,79_80:0.03752491920982301,79_80:660
80,93.69218735,110.7072592,5.008582668,-0.303224145,0.0147,0.018,0.0114,2000,0.001406597,0.001406597,0.001406597,80_81:0.011418554015236865,80_81:660
81,59.41808467,114.3023899,5.097094931,-0.303168562,0.0391,0.0454,0.0328,2000,0.00037452,0.00037452,0.00037452,undefined,undefined
82,122.8431733,119.8398564,4.972223557,-0.303459924,0.075,0.066666667,0.083333333,2000,0.000267111,0.000267111,0.000267111,82_81:0.00983205752113439,82_81:660
83,2.791333542,5.542674077,5.19791766,-0.348361511,0.085,0.133333333,0.036666667,2000,0.008753014,0.008753014,0.008753014,83_82:0.4083616620879515; 83_84:1,83_82:660; 83_84:660
84,79.29119941,65.05978264,5.148733816,-0.300301133,0.045,0.056666667,0.033333333,2000,0.000466004,0.000466004,0.000466004,84_85:0.016484317066298132,84_85:660
85,112.9637499,72.61178712,5.226895774,-0.300130482,0.058333333,0.076666667,0.04,2000,0.003529734,0.003529734,0.003529734,85_86:0.03543991404058214,85_86:660
86,91.26767603,80.43123072,5.27372671,-0.298268495,0.0401,0.0386,0.0416,2000,0.000416446,0.000416446,0.000416446,86_87:0.0161365498614634,86_87:660
87,123.1493463,72.20331269,5.038020439,-0.302729545,0.0539,0.0822,0.0256,2000,0.000349409,0.000349409,0.000349409,87_99:0.0205435114709418; 87_88:0.014892247069794778,87_99:660; 87_88:660
88,98.42909515,69.42393156,5.150762681,-0.30052409,0.03,0.0146,0.0454,2000,0.000370849,0.000370849,0.000370849,88_89:0.017755509359526273,88_89:660
89,62.82379744,33.43484673,5.0677422,-0.266112588,0.07,0.073333333,0.066666667,2000,0.000602573,0.000602573,0.000602573,undefined,undefined
90,95.50259601,76.39400691,5.329006984,-0.296955175,0.1428,0.098,0.1876,2000,0.000651522,0.000651522,0.000651522,90_89:0.014540329829171833,90_89:660
91,75.4768878,35.33557398,5.20550833,-0.29968741,0.0212,0.02,0.0224,2000,0.001910148,0.001910148,0.001910148,91_90:0.02314298059338804; 91_92:0.023996476298164815,91_90:660; 91_92:660
92,101.391051,22.10775335,5.144165121,0,0.0488,0.0458,0.0518,2000,0.001319004,0.001319004,0.001319004,92_93:0.02991806748734102,92_93:660
93,110.8488336,101.9839308,5.230085999,-0.300212268,0.01,0.01,0.01,2000,0.000695768,0.000695768,0.000695768,undefined,undefined
94,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,94_101:1,94_101:135
95,68.27792302,11.07564031,5.346253989,-0.298279691,0.1,0.113333333,0.086666667,2000,0.001212616,0.001212616,0.001212616,95_71:0.026384222788723488; 95_105:0.048334964054626756,95_71:660; 95_105:660
96,82.78617363,90.71885469,5.154657415,-0.301751919,0.0937,0.1094,0.078,2000,0.001929679,0.001929679,0.001929679,undefined,undefined
97,103.1780015,74.6461843,5.117916773,-0.301812154,0.0909,0.0954,0.0864,2000,0.000563536,0.000563536,0.000563536,97_79:0.015370338500010933,97_79:660
98,43.12621012,13.97090484,5.381303095,-0.297581396,0.0355,0.039,0.032,2000,0.001055979,0.001055979,0.001055979,98_83:0.0997547622879534; 98_117:0.035712701787148055,98_83:660; 98_117:660
99,85.31605879,31.98641879,5.215519545,-0.300362239,0.0153,0.0194,0.0112,2000,0.001140179,0.001140179,0.001140179,undefined,undefined
100,79.12431699,56.45851483,5.302450523,-0.298740505,0.0127,0.0164,0.009,2000,0.000931422,0.000931422,0.000931422,100_91:0.020553046172260864,100_91:660
101,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,101_102:1,101_102:135
102,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,102_103:1,102_103:135
103,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,103_104:1; 103_128:1,103_104:135; 103_128:135
104,92.71734221,54.2463639,5.181796529,-0.300550802,0.1231,0.118,0.1282,2000,0.000585805,0.000585805,0.000585805,104_105:0.028035587451464172,104_105:660
105,159.7100537,16.99362423,5.096866808,0,0.125,0.113333333,0.136666667,2000,0.001268351,0.001268351,0.001268351,undefined,undefined
106,54.26929977,15.25516096,5.306029793,-0.296654443,0.071666667,0.063333333,0.08,2000,0.001576473,0.001576473,0.001576473,106_105:0.04273605602852196; 106_107:0.021163086582025425,106_105:660; 106_107:660
107,124.1081082,31.46936987,5.089441683,-0.302485227,0.1213,0.1166,0.126,2000,0.00131021,0.00131021,0.00131021,107_108:0.03129877011222415,107_108:660
108,72.14723216,70.46791525,5.113424855,-0.302169651,0.0387,0.0572,0.0202,2000,0.001970904,0.001970904,0.001970904,undefined,undefined
109,55.53187082,71.80430181,5.324830098,-0.299066162,0.0585,0.048,0.069,2000,0.000504561,0.000504561,0.000504561,109_96:0.02281023343085936; 109_110:0.02857719129480152; 109_108:0.01809395285096488,109_96:660; 109_110:660; 109_108:660
110,35.29986913,46.94951067,5.372676327,-0.297832513,0.045,0.0498,0.0402,2000,0.000600994,0.000600994,0.000600994,110_111:0.027416112544425247,110_111:660
111,23.78193152,37.18667161,5.229869692,-0.301916726,0.0904,0.1384,0.0424,2000,0.000937614,0.000937614,0.000937614,111_112:0.03540657485676432; 111_130:1,111_112:660; 111_130:660
112,52.92932137,64.96181493,5.086546802,-0.294616426,0.0225,0.0296,0.0154,2000,0.000705248,0.000705248,0.000705248,112_113:0.024542723172187086,112_113:660
113,53.03378515,32.95421291,5.178653797,0,0.3917,0.381,0.4024,2000,0.001072985,0.001072985,0.001072985,113_97:0.02044068737902302; 113_114:0.024857419405040243,113_97:660; 113_114:660
114,98.36305917,56.37383444,5.219750536,-0.298820492,0.2369,0.2318,0.242,2000,0.000395135,0.000395135,0.000395135,114_115:0.012058207779799435,114_115:660
115,92.37477007,96.60971111,5.141953151,-0.302367235,0.1287,0.1618,0.0956,2000,0.000436543,0.000436543,0.000436543,undefined,undefined
116,124.5919395,35.73733771,5.044566721,-0.30233209,0.0245,0.0358,0.0132,2000,0.000361259,0.000361259,0.000361259,116_117:0.02237128998597837; 116_115:0.017721899897838983,116_117:660; 116_115:660
117,94.19629482,16.60875664,5.138707832,-0.296355972,0.092,0.113,0.071,2000,0.000574812,0.000574812,0.000574812,undefined,undefined
118,46.23961227,17.41353845,5.41353265,-0.294829974,0.0247,0.0296,0.0198,2000,0.000878138,0.000878138,0.000878138,118_119:0.025238341090859873; 118_117:0.046864086922763754,118_119:660; 118_117:660
119,79.29279099,36.36937235,5.29401683,-0.299997497,0.111666667,0.126666667,0.096666667,2000,0.00192291,0.00192291,0.00192291,119_120:1,119_120:660
120,79.90175431,72.21005548,5.118404805,-0.301703796,0.205,0.23,0.18,2000,0.00053906,0.00053906,0.00053906,120_121:0.011823103994532846,120_121:660
121,110.7407053,60.02201861,5.083707684,-0.302445383,0.0213,0.0226,0.02,2000,0.000437235,0.000437235,0.000437235,121_99:0.023202096495033103,121_99:660
122,61.5087592,35.43397855,5.293238954,-0.293972347,0.0473,0.055,0.0396,2000,0.011329349,0.011329349,0.011329349,122_123:0.046468301772759374; 122_121:0.06539524151066367,122_123:660; 122_121:660
123,67.86696583,58.91826412,5.139695344,-0.302222135,0.1172,0.0922,0.1422,2000,0.000448156,0.000448156,0.000448156,undefined,undefined
124,32.97461732,88.95680489,5.272659593,-0.298661357,0.0605,0.025,0.096,2000,0.000465873,0.000465873,0.000465873,124_125:0.015687536769972615; 124_123:0.01532267776937965,124_125:660; 124_123:660
125,175.142303,63.70815237,5.114243406,-0.30148889,0.0118,0.017,0.0066,2000,0.000383392,0.000383392,0.000383392,125_100:0.036772144401953866,125_100:660
126,34.07463286,47.5239961,5.526790801,-0.291482828,0.0918,0.0374,0.1462,2000,0.000749482,0.000749482,0.000749482,126_125:0.033983879355558105; 126_127:0.022467867905692163,126_125:1404; 126_127:660
127,56.71656457,54.27365402,5.309071597,-0.299237675,0.0361,0.0406,0.0316,2000,0.000431696,0.000431696,0.000431696,undefined,undefined
128,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,128_137:1,128_137:135
129,100.1320239,42.38428101,5.183426885,-0.301465483,0.0112,0.0054,0.017,2000,0.00091775,0.00091775,0.00091775,129_107:0.013273391693025993; 129_141:0.01100750793003863,129_107:660; 129_141:660
130,93.64472019,119.8369422,5.189906143,-0.300630972,0.0143,0.0212,0.0074,2000,0.000321815,0.000321815,0.000321815,130_145:0.012942346069193478,130_145:660
131,82.21468545,128.2251503,5.099829494,-0.302194751,0.026,0.02,0.032,2000,0.000573112,0.000573112,0.000573112,131_115:0.020556729187215017; 131_149:0.013332264715199327,131_115:660; 131_149:660
132,103.0135683,59.57326347,5.149419354,-0.301250366,0.0743,0.1312,0.0174,2000,0.000989144,0.000989144,0.000989144,132_119:0.02398220177044913; 132_153:0.024544296490964318,132_119:660; 132_153:660
133,104.4662789,7.523406758,5.200656177,-0.300607748,0.0459,0.0582,0.0336,2000,0.000401525,0.000401525,0.000401525,133_123:0.014573274749260207; 133_157:0.013759140164658207,133_123:660; 133_157:660
134,119.5752379,115.7584621,5.108485824,-0.301775489,0.0129,0.016,0.0098,2000,0.000264768,0.000264768,0.000264768,134_161:0.010052238153060528; 134_127:0.017971007272314737,134_161:660; 134_127:764
135,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,135_162:1; 135_136:1,135_162:135; 135_136:135
136,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,136_137:1,136_137:135
137,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,137_138:1,137_138:135
138,196.8002908,61.34631646,5.009219081,-0.303095026,0.0801,0.0796,0.0806,2000,0.000339341,0.000339341,0.000339341,138_139:0.013576689608797904,138_139:660
139,96.03438046,75.01969151,4.906884828,-0.305369794,0.0337,0.034,0.0334,2000,0.000405567,0.000405567,0.000405567,139_140:0.03839518241210446,139_140:660
140,125.1102232,7.079051139,4.98318388,-0.303758974,0.0421,0.0396,0.0446,2000,0.000620069,0.000620069,0.000620069,140_141:0.011566630566839015,140_141:660
141,51.34366869,30.748546,5.108035415,-0.302532531,0.064,0.0722,0.0558,2000,0.001515987,0.001515987,0.001515987,141_142:0.01359824472266416,141_142:660
142,97.8943851,39.02956425,5.19838458,-0.29965915,0.0115,0.0114,0.0116,2000,0.000481,0.000481,0.000481,142_143:0.012422899289424472,142_143:660
143,90.81027351,120.6711548,4.979652019,-0.304290053,0.0143,0.0158,0.0128,2000,0.000350112,0.000350112,0.000350112,143_144:0.009890078689827692,143_144:660
144,126.1192287,109.5915406,5.078982463,-0.300618603,0.0088,0.007,0.0106,2000,0.000363104,0.000363104,0.000363104,144_145:0.01060853470969289,144_145:660
145,131.0225467,80.86614021,5.017896149,-0.303792159,0.058333333,0.09,0.026666667,2000,0.000361513,0.000361513,0.000361513,145_146:0.016185100950237896,145_146:660
146,164.4432963,34.63942499,5.089706064,-0.302166675,0.165,0.113333333,0.216666667,2000,0.000995263,0.000995263,0.000995263,undefined,undefined
147,47.07324278,87.48695176,4.907287051,-0.305151486,0.045,0.066666667,0.023333333,2000,0.000504222,0.000504222,0.000504222,147_146:0.027483719298470932; 147_148:0.028108651312958227,147_146:860; 147_148:660
148,100.857332,120.0697375,5.067113405,-0.302420264,0.103333333,0.156666667,0.05,2000,0.000440021,0.000440021,0.000440021,148_149:0.011830657368915087,148_149:660
149,124.2672525,52.86472381,5.009162104,-0.303685773,0.1388,0.1204,0.1572,2000,0.000391181,0.000391181,0.000391181,undefined,undefined
150,63.63790637,48.97137747,5.105009614,-0.300825725,0.1415,0.1424,0.1406,2000,0.001196605,0.001196605,0.001196605,150_151:0.05002941656347493; 150_149:0.025523846092711383,150_151:660; 150_149:660
151,110.3456093,12.20723595,5.137730263,-0.301549883,0.108333333,0.13,0.086666667,2000,0.001275757,0.001275757,0.001275757,151_152:0.03516732190691135; 151_166:0.26072284297712994,151_152:660; 151_166:660
152,71.9052069,20.6585765,5.259381807,-0.27659821,0.0854,0.0832,0.0876,2000,0.000850338,0.000850338,0.000850338,152_153:0.02569083357789695,152_153:660
153,81.89279918,50.81356054,5.292641622,-0.300041826,0.1179,0.1012,0.1346,2000,0.00073094,0.00073094,0.00073094,153_154:0.017511234610374876,153_154:660
154,85.29420933,72.83889884,5.20067956,-0.299154677,0.0178,0.0168,0.0188,2000,0.000467253,0.000467253,0.000467253,154_155:0.01938997740472667,154_155:660
155,114.917312,19.11369202,5.065103625,-0.273999998,0.0444,0.041,0.0478,2000,0.001138831,0.001138831,0.001138831,155_167:0.02620170102631425; 155_156:0.02704248979517851,155_167:660; 155_156:660
156,82.31004799,31.14678961,5.146118039,-0.300664317,0.02,0.0218,0.0182,2000,0.001062972,0.001062972,0.001062972,156_157:0.02191274172862212,156_157:660
157,148.070952,95.0530431,5.055806158,-0.303136353,0.0898,0.0814,0.0982,2000,0.00039404,0.00039404,0.00039404,undefined,undefined
158,106.9118812,109.0880633,5.135051045,-0.300559539,0.0091,0.0082,0.01,2000,0.00038713,0.00038713,0.00038713,158_157:0.012845986420240457; 158_159:0.01738948171509966,158_157:660; 158_159:660
159,96.13858676,24.97494377,5.019146221,-0.269123751,0.0482,0.042,0.0544,2000,0.001161083,0.001161083,0.001161083,159_160:0.035761291133594,159_160:660
160,101.7591586,66.45003222,5.235292081,-0.298539173,0.0135,0.0138,0.0132,2000,0.000430384,0.000430384,0.000430384,160_161:0.011048814921773814,160_161:660
161,41.56954091,76.48325776,5.277734876,-0.299477846,0.0094,0.0124,0.0064,2000,0.000383986,0.000383986,0.000383986,undefined,undefined
162,95.32875073,121.9760589,4.998056471,-0.304277135,0.0211,0.0176,0.0246,2000,0.000343607,0.000343607,0.000343607,undefined,undefined
163,70.42900088,6.280787207,4.983002995,-0.285729435,0.081666667,0.1,0.063333333,2000,0.004613421,0.004613421,0.004613421,163_139:0.0324500226304717,163_139:660
164,40.770992,36.10744559,4.895961806,-0.2811525,0.058,0.0634,0.0526,2000,0.00174802,0.00174802,0.00174802,164_143:0.03517449268449632,164_143:660
165,63.69124991,89.75901605,4.956948729,-0.323220946,0.0167,0.0226,0.0108,2000,0.000546693,0.000546693,0.000546693,165_147:0.02996561737451514,165_147:660
166,97.53064454,43.22197721,5.10223409,-0.262467677,0.253333333,0.323333333,0.183333333,2000,0.00139519,0.00139519,0.00139519,undefined,undefined
167,88.69271056,40.764869,5.094050863,-0.301960515,0.1153,0.1504,0.0802,2000,0.001364257,0.001364257,0.001364257,undefined,undefined
168,87.87414537,55.09394073,5.054014303,-0.302915972,0.034,0.0392,0.0288,2000,0.000353288,0.000353288,0.000353288,168_159:0.020641895101321223,168_159:660
169,155.9357777,62.05359608,4.957652721,-0.305002103,0.0319,0.029,0.0348,2000,0.000347902,0.000347902,0.000347902,169_162:0.010439833230756701,169_162:660
170,52.64535471,117.8644229,5.210207506,-0.29898059,0.0214,0.015,0.0278,2000,0.000447195,0.000447195,0.000447195,170_171:0.01358911115736669; 170_169:0.012009532916387483,170_171:660; 170_169:660
171,77.73356801,76.68956071,4.99898495,-0.304533574,0.0331,0.0356,0.0306,2000,0.001109467,0.001109467,0.001109467,171_196:0.04992508840138207; 171_172:0.03169619186171052,171_196:860; 171_172:660
172,83.29508187,93.33422526,5.065864068,-0.302977402,0.1627,0.1564,0.169,2000,0.001475667,0.001475667,0.001475667,172_173:0.01705396228258871,172_173:660
173,25.76081382,53.84203617,5.023336957,-0.304180322,0.03,0.033333333,0.026666667,2000,0.000549906,0.000549906,0.000549906,173_174:0.0235798638104788; 173_163:0.2684681515458834,173_174:660; 173_163:660
174,53.44951031,74.2045903,5.166289424,-0.299702692,0.143333333,0.176666667,0.11,2000,0.000964414,0.000964414,0.000964414,174_175:0.04765860648797768,174_175:660
175,29.54688905,18.47083028,5.056767996,-0.25954088,0.085,0.093333333,0.076666667,2000,0.002939556,0.002939556,0.002939556,175_176:0.05176434308092184,175_176:660
176,94.61995357,37.85360327,4.895309721,-0.265365573,0.1937,0.1842,0.2032,2000,0.002194396,0.002194396,0.002194396,176_177:0.05077848154203604,176_177:660
177,51.12947337,85.15905797,4.929121104,-0.305847202,0.0524,0.051,0.0538,2000,0.000643125,0.000643125,0.000643125,177_178:0.015210746175923884; 177_164:0.17845646479193022,177_178:660; 177_164:660
178,104.9284555,58.49586247,5.115374749,-0.300478805,0.0099,0.0118,0.008,2000,0.000531158,0.000531158,0.000531158,178_179:0.014089254508004245,178_179:660
179,147.7709077,33.58102452,4.958012062,-0.305111345,0.0208,0.0206,0.021,2000,0.000266784,0.000266784,0.000266784,179_180:0.015229456139532083,179_180:660
180,61.7942081,105.315793,5.124091252,-0.301662625,0.0993,0.0876,0.111,2000,0.000415426,0.000415426,0.000415426,180_181:0.012674425926275018,180_181:660
181,52.81138934,81.99319776,5.089396665,-0.302625892,0.1645,0.1724,0.1566,2000,0.000630503,0.000630503,0.000630503,181_165:0.02042589532686115; 181_182:0.020436018355003444,181_165:660; 181_182:660
182,87.84710038,64.09922095,5.218443839,-0.298650737,0.0594,0.0638,0.055,2000,0.000510613,0.000510613,0.000510613,182_183:0.017572125623125268,182_183:660
183,128.626202,45.78088504,5.07512162,-0.270550479,0.1287,0.1346,0.1228,2000,0.00099883,0.00099883,0.00099883,183_184:0.016765361370705417,183_184:660
184,127.056257,101.5495708,5.110397752,-0.302052885,0.1336,0.1504,0.1168,2000,0.000561019,0.000561019,0.000561019,184_185:0.010743196748950468,184_185:660
185,196.776275,62.54207451,5.038893154,-0.303397087,0.168333333,0.2,0.136666667,2000,0.000332718,0.000332718,0.000332718,185_166:0.11027550408913633,185_166:660
186,59.03673415,44.15867298,5.291119215,-0.296957987,0.0534,0.0494,0.0574,2000,0.000613425,0.000613425,0.000613425,186_185:0.018054828002685153; 186_187:0.014618949411320442,186_185:660; 186_187:660
187,93.36122933,76.46679177,5.085935021,-0.302792443,0.1751,0.1736,0.1766,2000,0.00037836,0.00037836,0.00037836,undefined,undefined
188,120.242121,113.023952,4.99946321,-0.303026856,0.0411,0.0466,0.0356,2000,0.00046766,0.00046766,0.00046766,188_189:0.015131671937923974; 188_187:0.010570502099199519,188_189:660; 188_187:660
189,74.16494194,106.2020038,5.134086975,-0.302152213,0.0298,0.0346,0.025,2000,0.000592069,0.000592069,0.000592069,189_167:0.012394058035217037,189_167:660
190,41.49174067,21.28113254,5.391257594,-0.294411319,0.1407,0.1548,0.1266,2000,0.00180838,0.00180838,0.00180838,190_189:0.024268011186716842; 190_191:0.022110760406466756,190_189:660; 190_191:660
191,99.51373864,77.13080748,5.204505079,-0.301117274,0.013,0.0176,0.0084,2000,0.000518685,0.000518685,0.000518685,undefined,undefined
192,86.45850821,82.29736973,5.018207225,-0.30294918,0.0207,0.0216,0.0198,2000,0.0004311,0.0004311,0.0004311,192_191:0.012305435215945015,192_191:660
193,65.1513773,106.1562905,5.269871133,-0.299923486,0.0761,0.077,0.0752,2000,0.000404903,0.000404903,0.000404903,193_192:0.011855649978463001; 193_168:0.011481769546008325,193_192:660; 193_168:660
194,51.42904951,71.7959118,5.45692934,-0.293026037,0.0161,0.0166,0.0156,2000,0.000476077,0.000476077,0.000476077,194_193:0.015803893301475247; 194_195:0.012806337066213896,194_193:660; 194_195:660
195,105.2649655,62.80731145,5.324686595,-0.298729819,0.0072,0.0082,0.0062,2000,0.000365237,0.000365237,0.000365237,undefined,undefined
196,179.4318634,24.30872602,5.145628605,0,0.0631,0.0476,0.0786,2000,0.000783728,0.000783728,0.000783728,undefined,undefined
197,70.33077402,16.35916394,5.096536842,-0.302399196,0.108333333,0.1,0.116666667,2000,0.000517352,0.000517352,0.000517352,197_209:0.022605334544940042; 197_175:1,197_209:660; 197_175:660
198,107.7776389,27.11381616,5.052785335,-0.30345953,0.0155,0.0196,0.0114,2000,0.00050515,0.00050515,0.00050515,198_179:0.01256029655716065; 198_213:0.013337442709003722,198_179:660; 198_213:660
199,72.12201835,39.12495998,5.163486955,-0.301313617,0.0114,0.0118,0.011,2000,0.000365675,0.000365675,0.000365675,199_183:0.018577156323783928,199_183:660
200,43.61644721,64.4152136,5.231935674,-0.299036854,0.0169,0.0212,0.0126,2000,0.000629981,0.000629981,0.000629981,200_221:0.01276129527966205; 200_187:0.02260155706356204,200_221:660; 200_187:660
201,156.8048257,125.905685,5.081825595,-0.302525248,0.022,0.0204,0.0236,2000,0.000546875,0.000546875,0.000546875,201_191:0.010214385583118435; 201_225:0.009921738158157695,201_191:660; 201_225:660
202,94.14160531,55.45577236,5.418104929,-0.296903812,0.0517,0.0408,0.0626,2000,0.000476059,0.000476059,0.000476059,202_229:0.0146139320881008; 202_195:0.013888184017833344,202_229:660; 202_195:660
203,52.39123567,77.13863913,5.096006417,-0.302463553,0.0111,0.0156,0.0066,2000,0.000512856,0.000512856,0.000512856,undefined,undefined
204,81.97984836,106.8755505,5.019332022,-0.302288769,0.0239,0.015,0.0328,2000,0.000406304,0.000406304,0.000406304,204_205:0.023616308565945127; 204_203:0.013698447408762943,204_205:660; 204_203:660
205,58.44338588,99.6877284,5.103963972,-0.303265241,0.4159,0.1226,0.7092,2000,0.000687941,0.000687941,0.000687941,205_206:0.020464047439144928; 205_196:0.028861450347338946,205_206:660; 205_196:660
206,19.36516031,119.6929262,5.159805086,-0.300822396,0.0699,0.07,0.0698,2000,0.000589086,0.000589086,0.000589086,206_207:0.010240521497857119,206_207:660
207,150.3851547,67.58848361,5.068123993,-0.302585727,0.1041,0.0962,0.112,2000,0.000690008,0.000690008,0.000690008,207_208:0.011059799779604917,207_208:660
208,85.87700967,107.9099489,5.261352652,-0.298794517,0.1,0.126666667,0.073333333,2000,0.000450977,0.000450977,0.000450977,208_209:1,208_209:660
209,127.7074161,50.54210029,5.150862812,-0.292380333,0.048333333,0.043333333,0.053333333,2000,0.000762449,0.000762449,0.000762449,209_210:0.021738730964854375,209_210:660
210,79.92348988,25.75732179,5.184366153,-0.300136884,0.0534,0.0516,0.0552,2000,0.000592702,0.000592702,0.000592702,210_211:0.02269079878354352,210_211:660
211,42.62381732,100.3885544,5.062928902,-0.302752548,0.0342,0.041,0.0274,2000,0.000857168,0.000857168,0.000857168,211_232:0.01203698135917361; 211_212:0.02444887448465352,211_232:660; 211_212:660
212,84.97196265,94.8719061,5.255027819,-0.299075196,0.0198,0.0292,0.0104,2000,0.000387792,0.000387792,0.000387792,212_213:0.013502788490098894,212_213:660
213,99.83135309,65.67243119,5.185812235,-0.301619795,0.0198,0.0136,0.026,2000,0.00039615,0.00039615,0.00039615,213_214:0.013223776290117034,213_214:660
214,96.72737276,125.8926464,4.986067638,-0.303251862,0.0259,0.0266,0.0252,2000,0.000378681,0.000378681,0.000378681,214_215:0.015121819865387937,214_215:660
215,69.57508953,52.09045761,5.178322701,-0.30090604,0.0694,0.0704,0.0684,2000,0.000437449,0.000437449,0.000437449,215_233:0.014463462907531338; 215_216:0.012053403353937536,215_233:660; 215_216:660
216,110.5820942,61.45239074,5.115002859,-0.301277258,0.0211,0.032,0.0102,2000,0.000524209,0.000524209,0.000524209,undefined,undefined
217,75.71172174,50.37471827,5.375120936,-0.29892947,0.071666667,0.066666667,0.076666667,2000,0.00096688,0.00096688,0.00096688,217_218:0.024694014800733133; 217_199:0.015294946516294095; 217_216:0.015037092134638191,217_218:660; 217_199:660; 217_216:660
218,92.25774797,32.51249748,4.940139095,-0.303974854,0.088333333,0.096666667,0.08,2000,0.000577408,0.000577408,0.000577408,undefined,undefined
219,73.2430206,74.31843035,5.284676816,-0.298570786,0.2226,0.2202,0.225,2000,0.000434504,0.000434504,0.000434504,219_218:0.01820227760242521; 219_220:0.01848025573451173,219_218:660; 219_220:660
220,130.2134426,64.64639427,5.145779742,-0.29997869,0.07,0.096666667,0.043333333,2000,0.001518025,0.001518025,0.001518025,220_221:0.028397785792476732,220_221:660
221,116.5660386,53.23562895,5.168960543,-0.301600006,0.066666667,0.066666667,0.066666667,2000,0.001830718,0.001830718,0.001830718,undefined,undefined
222,95.7197703,59.39260155,5.224823873,-0.299215828,0.306666667,0.29,0.323333333,2000,0.006330085,0.006330085,0.006330085,222_221:0.06423021072466548; 222_223:0.051471937096893045,222_221:660; 222_223:660
223,94.55013691,29.68890284,5.11476019,-0.251890348,0.178333333,0.16,0.196666667,2000,0.011084446,0.011084446,0.011084446,223_224:0.08050374482420256; 223_235:1,223_224:660; 223_235:135
224,91.54767881,76.55401535,5.168470061,-0.300237163,0.0648,0.0716,0.058,2000,0.000628777,0.000628777,0.000628777,224_225:0.015111184449477871,224_225:660
225,147.3117298,102.5064364,5.031693672,-0.303094724,0.0194,0.0212,0.0176,2000,0.000313234,0.000313234,0.000313234,undefined,undefined
226,105.9879919,89.48596073,5.073332519,-0.30154905,0.018,0.0208,0.0152,2000,0.000696995,0.000696995,0.000696995,226_227:0.023464066712450354; 226_225:0.016067250640347586,226_227:660; 226_225:660
227,97.55412072,99.45267411,5.164392742,-0.300792054,0.0085,0.0094,0.0076,2000,0.000633128,0.000633128,0.000633128,227_228:0.02403136585488294,227_228:660
228,12.05403646,41.46969661,5.299811074,-0.297423391,0.0094,0.0072,0.0116,2000,0.000565932,0.000565932,0.000565932,228_229:0.012598658031172105,228_229:660
229,61.75342785,106.579817,5.366596751,-0.297882529,0.1579,0.118,0.1978,2000,0.000711725,0.000711725,0.000711725,undefined,undefined
230,52.04309205,18.6680134,4.942968615,-0.301604417,0.0561,0.0368,0.0754,2000,0.001009089,0.001009089,0.001009089,230_203:0.024272294631208585,230_203:660
231,40.53284738,63.0758597,5.116454273,-0.302365185,0.044,0.0482,0.0398,2000,0.000545691,0.000545691,0.000545691,231_207:0.011871094464138893,231_207:660
232,79.05536566,159.213754,5.112072851,-0.302362702,0.1004,0.1124,0.0884,2000,0.002529141,0.002529141,0.002529141,undefined,undefined
233,39.96666734,96.49714075,5.245138395,-0.299996548,0.0187,0.0202,0.0172,2000,0.000654332,0.000654332,0.000654332,undefined,undefined
234,83.15571567,57.07295598,5.159243644,-0.301278881,0.069,0.0688,0.0692,2000,0.000439714,0.000439714,0.000439714,234_219:0.014434446068625262,234_219:660
235,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,235_257:1,235_257:135
236,80.66816627,97.75744753,5.072992126,-0.301865238,0.0117,0.0114,0.012,2000,0.000625218,0.000625218,0.000625218,236_227:0.041029116966487006,236_227:1060
237,75.36741581,35.0646359,5.02795204,-0.304113063,0.055,0.066666667,0.043333333,2000,0.000564617,0.000564617,0.000564617,237_230:0.021828580497944006; 237_238:0.030787886994273206,237_230:660; 237_238:660
238,111.2189814,29.60362393,5.187232901,-0.299564036,0.126666667,0.143333333,0.11,2000,0.000479296,0.000479296,0.000479296,238_239:0.032808238640078896,238_239:660
239,142.8133885,60.93546983,5.071610765,-0.303708173,0.022,0.0292,0.0148,2000,0.000624676,0.000624676,0.000624676,239_240:0.011417305912131415,239_240:660
240,211.1864486,106.3122303,4.92990708,-0.304696291,0.2257,0.2362,0.2152,2000,0.00033942,0.00033942,0.00033942,undefined,undefined
241,81.03257791,88.27402719,5.26089164,-0.300014835,0.028333333,0.033333333,0.023333333,2000,0.000589901,0.000589901,0.000589901,241_242:0.018923616800141374; 241_240:0.018772948734476658; 241_231:0.018610665107976043,241_242:660; 241_240:660; 241_231:660
242,59.70573883,98.59106031,5.094863148,-0.300779574,0.128333333,0.116666667,0.14,2000,0.00058823,0.00058823,0.00058823,242_243:0.01496649544034756,242_243:660
