Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,vx (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
396,129.7696256,12.03231273,5.251378646,-0.29873177,0.123333333,0.166666667,0.08,2000,0.000793104,0.000793104,0.000793104,396_395:0.043297307952948505; 396_397:0.08305753646541544,396_395:660; 396_397:660
397,63.84869692,14.86488302,5.384608408,-0.297617247,0.0271,0.0208,0.0334,2000,0.001202584,0.001202584,0.001202584,397_372:0.028250196567294023; 397_398:0.04030207287880755,397_372:660; 397_398:660
398,41.87542868,14.04495602,5.421965916,-0.293889764,0.103333333,0.136666667,0.07,2000,0.000896097,0.000896097,0.000896097,398_399:0.029369518863857857,398_399:660
399,29.80571452,15.80642904,5.166857303,-0.4027138,0.305,0.35,0.26,2000,0.001294564,0.001294564,0.001294564,undefined,undefined
400,202.5058995,30.57338322,5.198996505,-0.300801467,0.1189,0.1368,0.101,2000,0.002003735,0.002003735,0.002003735,400_408:0.026296802477489917; 400_375:0.04518027552128803,400_408:660; 400_375:660
401,164.4038464,123.7170593,5.23456112,-0.300037803,0.1091,0.098,0.1202,2000,0.00044088,0.00044088,0.00044088,401_379:0.015261735422181288; 401_412:0.010361953325259465,401_379:660; 401_412:660
402,27.64587594,47.13569036,5.300014071,-0.261761375,0.215,0.2184,0.2116,2000,0.000812596,0.000812596,0.000812596,402_416:0.01706582962849379; 402_383:0.020324566550108836,402_416:660; 402_383:660
403,171.566053,28.23753024,5.22557548,-0.300175389,0.0167,0.012,0.0214,2000,0.00049865,0.00049865,0.00049865,403_420:0.018569842645186907; 403_387:0.016590694812177703,403_420:660; 403_387:660
404,109.2102535,29.0899938,5.25000082,0,0.0636,0.039,0.0882,2000,0.000828568,0.000828568,0.000828568,404_391:0.040041914366113984; 404_424:0.03477111909595171,404_391:660; 404_424:660
405,144.0182653,13.59889034,5.236898882,-0.299805675,0.0074,0.0096,0.0052,2000,0.000344255,0.000344255,0.000344255,undefined,undefined
406,131.6318961,23.73694494,5.35446253,0,0.37,0.35,0.39,2000,0.000772986,0.000772986,0.000772986,406_432:0.011380550426818709; 406_399:0.022773853679807,406_432:660; 406_399:660
407,122.7671189,36.71148343,5.395186962,-0.327577643,0.115,0.1026,0.1274,2000,0.00103581,0.00103581,0.00103581,undefined,undefined
408,71.96002359,96.10310925,5.325325347,-0.299436562,0.1659,0.1766,0.1552,2000,0.0006474,0.0006474,0.0006474,408_409:0.030110808550014412; 408_407:0.013541093553568112,408_409:660; 408_407:660
409,171.0318791,88.45534519,5.261294349,0,0.42,0.3126,0.5274,2000,0.003344481,0.003344481,0.003344481,undefined,undefined
410,28.61337699,23.19768218,5.462627265,-0.295412727,0.0414,0.0358,0.047,2000,0.000936524,0.000936524,0.000936524,410_411:0.02260932046723238; 410_409:0.03937870772160523,410_411:660; 410_409:660
411,247.3257205,124.2316143,5.085210676,-0.301644681,0.081666667,0.083333333,0.08,2000,0.000315246,0.000315246,0.000315246,411_412:0.008791509081364807,411_412:660
412,127.7414639,12.7203987,5.277720033,-0.30052647,0.118333333,0.12,0.116666667,2000,0.000386166,0.000386166,0.000386166,412_413:0.025487901951908004,412_413:660
413,159.6661289,49.81058847,5.135859411,-0.301224657,0.2079,0.2106,0.2052,2000,0.002168999,0.002168999,0.002168999,413_414:0.03050359718528811,413_414:660
414,198.7668752,45.69890743,5.117155931,-0.300647796,0.053333333,0.05,0.056666667,2000,0.002201783,0.002201783,0.002201783,414_415:0.13961729808984674,414_415:660
415,0.832424705,13.76324975,5.149493408,-0.301362861,0.295,0.46,0.13,2000,0.078349077,0.078349077,0.078349077,415_416:0.05903303873880705,415_416:660
416,168.897431,107.6811879,5.259120836,-0.299586283,0.131666667,0.116666667,0.146666667,2000,0.000314047,0.000314047,0.000314047,416_417:0.021927088154997693,416_417:660
417,104.2098017,13.36340659,5.331449026,-0.297162289,0.0849,0.0782,0.0916,2000,0.000749758,0.000749758,0.000749758,417_418:0.013855228859601831,417_418:660
418,144.9280386,111.5337675,5.287486814,-0.297664158,0.0142,0.0108,0.0176,2000,0.000303055,0.000303055,0.000303055,418_419:0.009260556543227189,418_419:660
419,76.02507328,84.18381865,5.404093657,-0.296125884,0.0107,0.0126,0.0088,2000,0.000451567,0.000451567,0.000451567,419_420:0.012175709983100191,419_420:660
420,155.6059502,28.30744158,5.35740549,-0.298889955,0.0297,0.031,0.0284,2000,0.000506633,0.000506633,0.000506633,undefined,undefined
421,65.88355141,28.16723876,5.325920929,-0.260229169,0.1051,0.0782,0.132,2000,0.000537854,0.000537854,0.000537854,421_420:0.018557156912711537; 421_422:0.02603751722299963,421_420:660; 421_422:660
422,256.475331,93.60502395,5.089988332,-0.301818818,0.1494,0.168,0.1308,2000,0.000478691,0.000478691,0.000478691,undefined,undefined
423,99.29655002,22.44786978,5.266427184,-0.256574359,0.2275,0.2376,0.2174,2000,0.000487484,0.000487484,0.000487484,423_422:0.017491864774430765,423_422:660
424,142.071485,90.18693331,5.327729532,-0.299272008,0.0619,0.0584,0.0654,2000,0.000456898,0.000456898,0.000456898,424_425:0.015137971526129362; 424_423:0.024264275164391808,424_425:660; 424_423:660
425,61.1508088,88.69639912,5.234239338,-0.29856821,0.0449,0.0424,0.0474,2000,0.000530511,0.000530511,0.000530511,425_426:0.021253548204113876,425_426:660
426,144.9413895,67.10382699,5.203357856,-0.263387357,0.173333333,0.15,0.196666667,2000,0.000615058,0.000615058,0.000615058,undefined,undefined
427,106.8824108,82.08503354,5.351958183,-0.296630962,0.088333333,0.083333333,0.093333333,2000,0.000374877,0.000374877,0.000374877,427_428:0.010061509590629902; 427_426:1,427_428:660; 427_426:660
428,203.0588778,110.8546079,5.159293777,-0.30140513,0.0129,0.0062,0.0196,2000,0.000218544,0.000218544,0.000218544,428_405:0.007130215833479225,428_405:660
429,91.24644381,47.55600988,5.344097442,-0.296564722,0.0371,0.0396,0.0346,2000,0.000545875,0.000545875,0.000545875,429_430:0.038632331276952175; 429_428:0.012398903285932766,429_430:332; 429_428:660
430,145.1158749,28.63795326,5.296597872,-0.297951119,0.2624,0.2578,0.267,2000,0.006891811,0.006891811,0.006891811,430_431:0.0450453796038241,430_431:660
431,67.81799209,12.81081529,5.222469512,-0.29862764,0.027,0.03,0.024,2000,0.0007363,0.0007363,0.0007363,undefined,undefined
432,108.4475877,47.86266895,5.408195847,-0.297419956,0.0205,0.0186,0.0224,2000,0.001188131,0.001188131,0.001188131,432_431:0.01593922951960358,432_431:660
