Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
111,111.4262004,133.1800986,5.191263703,-0.305599811,0.0042,0.006,0.0024,864,0.000233232,0.000233232,0.000233232,111_122:0.00941078770959436; 111_104:0.007243048122013013,111_122:426.66666666666663; 111_104:448
112,92.61324406,70.32734256,5.215480335,-0.278615657,0.0498,0.048,0.0516,864,0.000468299,0.000468299,0.000468299,112_108:0.02025980633074595; 112_126:0.01694324728506949,112_108:568.8888888888889; 112_126:376.88888888888886
113,95.69428325,134.4427497,5.170163992,-0.306163065,0.0292,0.029,0.0294,864,0.000228411,0.000228411,0.000228411,113_114:0.010174543082274695,113_114:483.55555555555554
114,84.89170063,27.21779006,5.270164403,-0.303164002,0.0736,0.0702,0.077,864,0.000696817,0.000696817,0.000696817,114_113:0.010174543082274695; 114_115:0.02803024931761161; 114_109:1,114_113:519.1111111111111; 114_115:732.4444444444445; 114_109:704
115,82.86293421,72.37096457,5.119969604,-0.306530272,0.0103,0.0122,0.0084,864,0.000364848,0.000364848,0.000364848,115_116:0.025137585066328405; 115_114:0.02803024931761161,115_116:533.3333333333333; 115_114:696.8888888888888
116,127.6110526,123.669347,5.016911981,-0.30771265,0.005,0.0058,0.0042,864,0.000213702,0.000213702,0.000213702,116_115:0.025137585066328405; 116_117:0.011190466381479774,116_115:568.8888888888889; 116_117:348.4444444444444
117,45.19799335,86.71937132,5.233717853,-0.303787009,0.0026,0.004,0.0012,864,0.000363694,0.000363694,0.000363694,117_118:0.010266329760691945; 117_116:0.011190466381479774,117_118:433.77777777777777; 117_116:312.88888888888886
118,90.17624603,71.95969404,5.11442016,-0.306762296,0.0511,0.0086,0.0936,864,0.000185272,0.000185272,0.000185272,118_117:0.010266329760691945; 118_119:0.027897785099226108; 118_110:0.009718480864998241,118_117:469.3333333333333; 118_119:881.7777777777777; 118_110:440.88888888888886
119,57.87131059,72.58420205,5.271384584,-0.304609567,0.042,0.0742,0.0098,864,0.005560348,0.005560348,0.005560348,119_120:0.03250524386918224; 119_118:0.027897785099226108,119_120:1130.6666666666665; 119_118:846.2222222222222
120,55.13645831,53.02585838,5.083512111,-0.306687444,0.0029,0.0044,0.0014,864,0.000197002,0.000197002,0.000197002,120_121:0.009019456634989959; 120_119:0.03250524386918224,120_121:476.4444444444444; 120_119:1166.2222222222222
121,105.2541658,49.43164278,4.99623001,-0.308273481,0.0172,0.0252,0.0092,864,0.000290829,0.000290829,0.000290829,121_120:0.009019456634989959; 121_122:0.018466611260238214,121_120:440.88888888888886; 121_122:846.2222222222222
122,97.60715698,113.6322315,5.268654173,-0.303244406,0.0022,0.004,0.0004,864,0.000246069,0.000246069,0.000246069,122_111:0.00941078770959436; 122_123:0.06189787581521164; 122_121:0.018466611260238214,122_111:462.2222222222222; 122_123:561.7777777777777; 122_121:810.6666666666666
123,89.19312529,5.266250187,5.108562997,-0.306259127,0.0043,0.0076,0.001,864,0.00120103,0.00120103,0.00120103,123_124:0.06814855952149607; 123_122:0.06189787581521164,123_124:533.3333333333333; 123_122:597.3333333333333
124,104.0155433,78.26407104,5.24015962,-0.292858081,0.0262,0.0186,0.0338,864,0.001582708,0.001582708,0.001582708,124_125:0.012348322763818642; 124_123:0.06814855952149607,124_125:789.3333333333333; 124_123:497.77777777777777
125,120.0541897,80.2562129,5.037232493,-0.307252261,0.0037,0.0064,0.001,864,0.000246338,0.000246338,0.000246338,125_124:0.012348322763818642; 125_126:0.008746843759334794,125_124:753.7777777777777; 125_126:504.88888888888886
126,72.25166376,124.4067863,5.164944566,-0.304952112,0.0057,0.0094,0.002,864,0.000237738,0.000237738,0.000237738,126_112:0.01694324728506949; 126_125:0.008746843759334794,126_112:412.4444444444444; 126_125:469.3333333333333
