Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
26,110.9061146,201.4779385,4.999034012,-0.308856788,0.0039,0.0062,0.0016,864,0.000165093,0.000165093,0.000165093,26_25:0.0063141181560179005; 26_27:0.00824412236959099; 26_16:0.008458488145505927,26_25:426.66666666666663; 26_27:384; 26_16:312.88888888888886
27,60.34530872,15.24562997,5.076923958,-0.306933713,0.0972,0.1018,0.0926,864,0.000356218,0.000356218,0.000356218,27_28:0.019925318729392738; 27_26:0.00824412236959099,27_28:1009.7777777777777; 27_26:348.4444444444444
28,104.7740453,82.05350172,5.198296914,-0.305775925,0.0026,0.0036,0.0016,864,0.000218424,0.000218424,0.000218424,28_35:0.01558749509762647; 28_27:0.019925318729392738; 28_29:0.008656163882265477,28_35:1123.5555555555554; 28_27:1045.3333333333333; 28_29:412.4444444444444
29,68.17510435,18.708669,4.993992389,-0.307572106,0.0682,0.0734,0.063,864,0.000362356,0.000362356,0.000362356,29_30:0.010380877027473173; 29_28:0.008656163882265477,29_30:568.8888888888889; 29_28:448
30,142.7845745,134.6640475,5.083420418,-0.307076002,0.0045,0.008,0.001,864,0.000300951,0.000300951,0.000300951,30_31:0.007104954495843058; 30_29:0.010380877027473173; 30_17:0.011463641489046217,30_31:469.3333333333333; 30_29:604.4444444444445; 30_17:419.55555555555554
31,110.3533592,67.14879599,5.129471002,-0.306557925,0.0048,0.0074,0.0022,864,0.000299651,0.000299651,0.000299651,31_30:0.007104954495843058; 31_32:0.007562949323378976,31_30:433.77777777777777; 31_32:362.66666666666663
32,76.45493651,25.88279051,5.204094327,-0.304130957,0.0039,0.0058,0.002,864,0.000296892,0.000296892,0.000296892,32_36:0.007435665130789609; 32_31:0.007562949323378976,32_36:320; 32_31:327.1111111111111
33,116.7159878,54.52066905,4.952785444,-0.309375132,0.0317,0.03,0.0334,864,0.000268048,0.000268048,0.000268048,33_39:0.009856867835953714; 33_20:0.009168661064391431,33_39:448; 33_20:362.66666666666663
34,93.90259111,147.4403078,4.936778025,-0.309231958,0.0053,0.0076,0.003,864,0.000211873,0.000211873,0.000211873,34_43:0.01037154582172023; 34_24:0.011830821857361257,34_43:483.55555555555554; 34_24:917.3333333333333
35,121.763096,30.11358369,5.074200333,-0.307209458,0.0038,0.0046,0.003,864,0.000239937,0.000239937,0.000239937,35_28:0.01558749509762647; 35_47:0.00846533146467418,35_28:1088; 35_47:376.88888888888886
36,110.1055609,60.98490639,5.102073208,-0.305933001,0.0037,0.0058,0.0016,864,0.000260916,0.000260916,0.000260916,36_32:0.007435665130789609; 36_51:0.007765290612755438,36_32:355.55555555555554; 36_51:433.77777777777777
37,70.34546441,79.6003746,5.168273901,-0.302223451,0.0287,0.0364,0.021,864,0.002305366,0.002305366,0.002305366,37_52:0.019514361575066835; 37_38:0.010870050685775234,37_52:1016.8888888888888; 37_38:462.2222222222222
38,79.70391815,107.6499908,5.10590377,-0.307534499,0.0073,0.0094,0.0052,864,0.000328468,0.000328468,0.000328468,38_39:0.009069578427702535; 38_37:0.010870050685775234,38_39:483.55555555555554; 38_37:426.66666666666663
39,101.5145275,110.8618843,5.017988446,-0.308382406,0.0108,0.013,0.0086,864,0.000223728,0.000223728,0.000223728,39_33:0.009856867835953714; 39_40:0.02310943346038749; 39_38:0.009069578427702535,39_33:412.4444444444444; 39_40:647.1111111111111; 39_38:519.1111111111111
40,92.85281047,13.89372179,5.162820921,-0.306128412,0.0628,0.069,0.0566,864,0.000608171,0.000608171,0.000608171,40_39:0.02310943346038749; 40_41:0.015597724141618169,40_39:611.5555555555555; 40_41:320
41,81.11440564,27.41432502,5.093085061,-0.307753929,0.074,0.0774,0.0706,864,0.000404047,0.000404047,0.000404047,41_42:0.00933101840319353; 41_53:0.019545297661931776; 41_40:0.015597724141618169,41_42:583.1111111111111; 41_53:341.3333333333333; 41_40:355.55555555555554
