Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
12,211.2161931,42.76210345,4.830485234,-0.311133073,0.4814,0.537,0.4258,864,0.002148707,0.002148707,0.002148707,12_17:0.03439617982862264; 12_13:0.010877444160171501; 12_11:0.04584458019391577,12_17:846.2222222222222; 12_13:490.66666666666663; 12_11:832
109,undefined,undefined,4.973438697,-0.324902504,0.469,0.246,0.692,864,1,1,1,109_114:1; 109_96:1,109_114:668.4444444444445; 109_96:1009.7777777777777
4,93.28645261,59.82344264,4.986713066,-0.321949921,0.3764,0.297,0.4558,864,0.001050434,0.001050434,0.001050434,4_15:0.01769631581755282; 4_3:0.0256765362793612; 4_5:0.021925542214524918,4_15:689.7777777777777; 4_3:810.6666666666666; 4_5:760.8888888888888
9,100.9689447,18.54981313,4.971912491,-0.309414497,0.3288,0.3304,0.3272,864,0.005391531,0.005391531,0.005391531,9_10:0.0757346146813416,9_10:1009.7777777777777
11,156.6732906,33.25541139,5.132107957,-0.306726467,0.2532,0.233,0.2734,864,0.003208548,0.003208548,0.003208548,11_10:0.04868458814224172; 11_12:0.04584458019391577,11_10:1166.2222222222222; 11_12:796.4444444444443
95,75.04146261,163.0345218,5.22059755,-0.305475928,0.1903,0.2042,0.1764,864,0.000451308,0.000451308,0.000451308,95_96:0.013207725289625855; 95_94:0.010016218183437703,95_96:455.1111111111111; 95_94:362.66666666666663
91,57.1258409,12.21609259,5.057571213,-0.307878156,0.162,0.2632,0.0608,864,0.269510188,0.269510188,0.269510188,91_98:1; 91_79:1,91_98:632.8888888888888; 91_79:405.3333333333333
10,147.2844413,18.17622138,4.876230808,-0.310362759,0.143,0.1692,0.1168,864,0.012570826,0.012570826,0.012570826,10_11:0.04868458814224172; 10_9:0.0757346146813416,10_11:1130.6666666666665; 10_9:974.2222222222222
77,75.41201231,110.0489129,5.071064064,-0.308013607,0.1315,0.0828,0.1802,864,0.000286954,0.000286954,0.000286954,77_71:0.014090023906129012; 77_76:0.016548552742578354; 77_78:0.024968970046013395,77_71:426.66666666666663; 77_76:369.77777777777777; 77_78:917.3333333333333
80,81.62479189,106.6315489,5.081013623,-0.307586586,0.1103,0.101,0.1196,864,0.000228414,0.000228414,0.000228414,80_81:0.008172071690634136; 80_79:0.010542970466225238,80_81:540.4444444444445; 80_79:312.88888888888886
27,65.7100117,18.92088028,5.076923958,-0.306933713,0.0972,0.1018,0.0926,864,0.000380474,0.000380474,0.000380474,27_28:0.019211876204150602; 27_26:0.007598439561808723,27_28:1009.7777777777777; 27_26:348.4444444444444
3,123.6895794,31.86969992,4.944201266,-0.277108512,0.0811,0.0854,0.0768,864,0.000338863,0.000338863,0.000338863,3_4:0.0256765362793612; 3_2:0.013091655203709168,3_4:775.1111111111111; 3_2:497.77777777777777
67,141.0367754,130.6227634,4.91202934,-0.300576427,0.081,0.0926,0.0694,864,0.000344909,0.000344909,0.000344909,67_66:0.041778305775975494; 67_68:0.009190295580895042,67_66:924.4444444444443; 67_68:412.4444444444444
71,121.1930295,130.726785,5.118819119,-0.315679854,0.0808,0.0822,0.0794,864,0.000706764,0.000706764,0.000706764,71_58:0.05368637946949811; 71_77:0.014090023906129012,71_58:590.2222222222222; 71_77:462.2222222222222
74,120.1540652,24.50042352,4.874460429,-0.320620025,0.0793,0.089,0.0696,864,0.000285366,0.000285366,0.000285366,74_89:0.012092715530395398; 74_70:0.02477753821990325,74_89:419.55555555555554; 74_70:853.3333333333333
41,91.67393294,51.38336113,5.093085061,-0.307753929,0.074,0.0774,0.0706,864,0.000364446,0.000364446,0.000364446,41_42:0.010681859112507852; 41_53:0.0211277793699583; 41_40:0.011083257823201992,41_42:583.1111111111111; 41_53:341.3333333333333; 41_40:355.55555555555554
114,98.20232745,28.78682823,5.270164403,-0.303164002,0.0736,0.0702,0.077,864,0.000503577,0.000503577,0.000503577,114_113:0.011618553643322427; 114_115:0.02563515347867179; 114_109:1,114_113:519.1111111111111; 114_115:732.4444444444445; 114_109:704
108,98.40549687,61.1665878,5.25358593,-0.303522156,0.0727,0.0684,0.077,864,0.000527295,0.000527295,0.000527295,108_112:0.01875593414405563; 108_107:0.014150754430926615,108_112:533.3333333333333; 108_107:519.1111111111111
5,79.3423127,220.2834447,4.882350902,-0.31039039,0.0713,0.075,0.0676,864,0.000557056,0.000557056,0.000557056,5_6:0.006568461680597049; 5_4:0.021925542214524918,5_6:405.3333333333333; 5_4:725.3333333333333
29,40.01217066,16.99990356,4.993992389,-0.307572106,0.0682,0.0734,0.063,864,0.00084552,0.00084552,0.00084552,29_30:0.06047051418850935; 29_28:0.011274173284456623,29_30:568.8888888888889; 29_28:448
99,108.5117541,37.46378089,5.174956351,-0.304739342,0.0652,0.069,0.0614,864,0.00210947,0.00210947,0.00210947,99_98:0.020568716604520837; 99_100:0.0340974200697082,99_98:369.77777777777777; 99_100:732.4444444444445
40,89.09418867,16.48419362,5.162820921,-0.306128412,0.0628,0.069,0.0566,864,0.000326626,0.000326626,0.000326626,40_39:0.021590014474400704; 40_41:0.011083257823201992,40_39:611.5555555555555; 40_41:320
52,6.494955906,61.39690631,5.015739036,-0.307851477,0.0564,0.062,0.0508,864,0.000757052,0.000757052,0.000757052,52_56:0.032521790359302055; 52_37:0.022321872772055162,52_56:561.7777777777777; 52_37:981.3333333333333
53,83.23731943,17.57316488,5.048009924,-0.307048961,0.0557,0.0634,0.048,864,0.001106723,0.001106723,0.001106723,53_60:0.015414039851318118; 53_41:0.0211277793699583,53_60:384; 53_41:376.88888888888886
45,46.34081539,68.28557429,4.879834952,-0.309479735,0.0525,0.0678,0.0372,864,0.000170402,0.000170402,0.000170402,45_54:0.029677490946804413; 45_44:0.015003834786003756; 45_46:0.014280117364492667,45_54:583.1111111111111; 45_44:1109.3333333333333; 45_46:867.5555555555555
118,104.5606809,112.4700448,5.11442016,-0.306762296,0.0511,0.0086,0.0936,864,0.000224012,0.000224012,0.000224012,118_117:0.00920407076667315; 118_119:0.029304532665237942; 118_110:0.009984683782675391,118_117:469.3333333333333; 118_119:881.7777777777777; 118_110:440.88888888888886
22,96.81505353,54.26204302,4.979374508,-0.300760699,0.05,0.035,0.065,864,0.000247189,0.000247189,0.000247189,22_15:0.019509631294440555; 22_21:0.010779902423025761; 22_23:0.010806970613960937,22_15:789.3333333333333; 22_21:625.7777777777777; 22_23:583.1111111111111
112,98.99288882,98.48342718,5.215480335,-0.278615657,0.0498,0.048,0.0516,864,0.000734826,0.000734826,0.000734826,112_108:0.01875593414405563; 112_126:0.01673681095383972,112_108:568.8888888888889; 112_126:376.88888888888886
13,66.40460183,12.98691661,4.950381468,-0.308758452,0.0481,0.0162,0.08,864,0.000278708,0.000278708,0.000278708,13_12:0.010877444160171501,13_12:455.1111111111111
18,109.8888202,121.7394939,4.865486422,-0.311249582,0.0468,0.0526,0.041,864,0.000231227,0.000231227,0.000231227,18_19:0.00736689742197727; 18_14:0.009485055266148568,18_19:405.3333333333333; 18_14:391.1111111111111
61,136.7394084,277.9769197,4.875150737,-0.310097162,0.0458,0.0546,0.037,864,0.000219271,0.000219271,0.000219271,61_60:0.01718038517088119; 61_62:0.007069935941539374,61_60:462.2222222222222; 61_62:526.2222222222222
50,156.7413269,209.8638211,5.017443883,-0.307954019,0.0454,0.0164,0.0744,864,0.000196169,0.000196169,0.000196169,50_51:0.008695902224183455; 50_49:0.009270174160953937,50_51:348.4444444444444; 50_49:462.2222222222222
96,87.16157001,59.77437404,5.141894019,-0.305860035,0.044,0.0468,0.0412,864,0.000339767,0.000339767,0.000339767,96_95:0.013207725289625855; 96_97:0.010950636640136013; 96_109:1,96_95:490.66666666666663; 96_97:362.66666666666663; 96_109:1187.5555555555554
2,67.2755708,78.04223287,4.891803376,-0.310404555,0.0431,0.0464,0.0398,864,0.000309049,0.000309049,0.000309049,2_3:0.013091655203709168; 2_1:0.010474196553632381,2_3:462.2222222222222; 2_1:334.22222222222223
119,63.84727997,46.55314217,5.271384584,-0.304609567,0.042,0.0742,0.0098,864,0.005661744,0.005661744,0.005661744,119_120:0.03748772866525529; 119_118:0.029304532665237942,119_120:1130.6666666666665; 119_118:846.2222222222222
6,96.45079595,91.11067166,4.968644278,-0.308061861,0.0394,0.0502,0.0286,864,0.000291456,0.000291456,0.000291456,6_5:0.006568461680597049; 6_7:0.00877234948972977,6_5:369.77777777777777; 6_7:455.1111111111111
24,122.4593601,124.0356313,4.765735653,-0.30397959,0.0387,0.044,0.0334,864,0.003618423,0.003618423,0.003618423,24_34:0.044913412088813165; 24_23:0.023270998292487022; 24_25:0.02790505252454059,24_34:952.8888888888888; 24_23:881.7777777777777; 24_25:455.1111111111111
17,118.6164914,21.41904846,5.003104678,-0.307632527,0.038,0.0474,0.0286,864,0.000434267,0.000434267,0.000434267,17_30:0.012325735969850399; 17_12:0.03439617982862264,17_30:384; 17_12:881.7777777777777
48,122.1859221,176.3172218,4.934007484,-0.308998928,0.0364,0.038,0.0348,864,0.000199376,0.000199376,0.000199376,48_49:0.011608197322089564; 48_47:0.006025588976091539,48_49:1009.7777777777777; 48_47:376.88888888888886
88,63.28676652,119.9304471,5.097033578,-0.306611007,0.0364,0.0416,0.0312,864,0.000370945,0.000370945,0.000370945,88_89:0.008935210635941132; 88_87:0.008656922383398186,88_89:533.3333333333333; 88_87:462.2222222222222
82,90.40807473,33.57518768,5.079907301,-0.307780683,0.0361,0.0406,0.0316,864,0.00141597,0.00141597,0.00141597,82_81:0.0115609042190023; 82_83:0.02957485147078806,82_81:497.77777777777777; 82_83:433.77777777777777
98,63.66000794,53.25030113,5.122195418,-0.294605686,0.0335,0.0392,0.0278,864,0.012426445,0.012426445,0.012426445,98_99:0.020568716604520837; 98_97:0.01864978443078555; 98_91:1,98_99:405.3333333333333; 98_97:952.8888888888888; 98_91:668.4444444444445
33,113.4140244,67.61568667,4.952785444,-0.309375132,0.0317,0.03,0.0334,864,0.000321109,0.000321109,0.000321109,33_39:0.021102172160034988; 33_20:0.007759761890641065,33_39:448; 33_20:362.66666666666663
58,107.8717189,77.56058011,4.964947693,-0.309411885,0.0301,0.0366,0.0236,864,0.000181332,0.000181332,0.000181332,58_71:0.05368637946949811; 58_59:0.008920575023898591; 58_57:0.007956514278268934,58_71:625.7777777777777; 58_59:526.2222222222222; 58_57:433.77777777777777
73,132.9681762,95.48437061,5.018901817,-0.308046488,0.0301,0.0168,0.0434,864,0.000230424,0.000230424,0.000230424,73_85:0.008477453071886243; 73_66:0.042436317228526754,73_85:462.2222222222222; 73_66:540.4444444444445
64,107.6394131,106.6140008,5.258161866,-0.305052722,0.0292,0.0244,0.034,864,0.000383363,0.000383363,0.000383363,64_65:0.017584474668564304; 64_63:0.009925669274030435; 64_54:0.009755314187054609,64_65:853.3333333333333; 64_63:405.3333333333333; 64_54:341.3333333333333
113,95.59003518,126.7965406,5.170163992,-0.306163065,0.0292,0.029,0.0294,864,0.0002154,0.0002154,0.0002154,113_114:0.011618553643322427,113_114:483.55555555555554
37,65.84551059,70.66721498,5.168273901,-0.302223451,0.0287,0.0364,0.021,864,0.001516869,0.001516869,0.001516869,37_52:0.022321872772055162; 37_38:0.011224609268137481,37_52:1016.8888888888888; 37_38:462.2222222222222
124,100.5506772,93.21069267,5.24015962,-0.292858081,0.0262,0.0186,0.0338,864,0.001811257,0.001811257,0.001811257,124_125:0.012580571530023343; 124_123:0.07918430676820037,124_125:789.3333333333333; 124_123:497.77777777777777
